1,1838.739990,0.000432
2,3499.520020,0.000445
5,6372.109863,0.000646
10,9384.629883,0.000945
20,12318.110352,0.001501
30,13453.549805,0.002103
40,15106.879883,0.002533
50,15155.139648,0.003182
70,16390.490234,0.004124
80,16949.279297,0.004556
90,16898.169922,0.005149
100,17026.410156,0.005729
120,22600.539062,0.005184
140,22513.619141,0.006068
160,22721.500000,0.006877
200,22478.619141,0.008760
220,22632.400391,0.009544
240,22943.390625,0.010375
280,23628.750000,0.011810
320,23233.529297,0.013631

150,20985.000000,0.006988
